!=======================================================================
! README.grib2
!
! This file describes the grib2 output files produced by UPP as part  
! of the NCAR Ensemble Forecasting System. Files are stored on this
! server in realtime for up to 5 days. 
!
! The table below lists the grib2 parameters used to describe the 
! products. Additional sources of documentation are also provided.
!
! For more info: www.ensemble.ucar.edu
! Contact: ensemble (at) ucar (dot) edu   
!
! Last Modified:  08 October 2015
!
! Please review UCAR's Terms of Use for details about data use:
!     http://www2.ucar.edu/terms-of-use
!
!======================================================================= 

FILENAME: ncar_3km_YYYYMMDD00_mem[1-10]_f[000-048].grb2
          ex. ncar_3km_2015063000_mem1_f000.grb2

Grib2 Documentation:
http://www.nco.ncep.noaa.gov/pmb/docs/grib2/grib2_doc.shtml

UPP Documentation:
http://www.dtcenter.org/upp/users/index.php

Helpful utilities: wgrib2
http://www.cpc.ncep.noaa.gov/products/wesley/wgrib2/

Extra Grib2 Tables Provided:
grib2table    - For use with wgrib2 to inventory custom products (e.g. HAILK1, BMIN)
                Either put this file in working directory, or set GRIB2TABLE envirn variable.

grib2nc.table - Sample table to use with wgrib2 when converting to netcdf to rename variables.
                >> wgrib2 filename.grb -nc_table grib2nc.table -netcdf outputfilename.nc

!-----------------!
!   GRIB2 TABLE   !
!-----------------!

For all fields:

  Master Table = 2
  Local Table  = 1
  Center       = 7

*  = Custom products derived within WRF
** = Field is computed/output from WRF and passed through UPP into Grib file, no derivations performed within UPP 
-------------------------------------------------------------------------------------------------------------------------------------------------
| Record | Discipline | Category | Parameter | Abrev   |      Level (grib code)         |  Description                                  | Units |
-------------------------------------------------------------------------------------------------------------------------------------------------
|   1    |     0      |     3    |     0     |  PRES   | mean sea level  (101)          |  Mean Sea Level Pressure                      |  Pa   |
|   2    |     0      |    16    |    196    |  REFC   | entire atmosphere (10)         |  Composite Reflectivity **                    |  dbz  |
|   3    |     0      |    19    |     0     |  VIS    | surface (1)                    |  Visibility                                   |   m   |
|   4    |     0      |     2    |    220    |  MAXUVV | 400-1000 mb above ground (108) |  Hourly Max Upward Vertical Velocity **       |  m/s  |
|   5    |     0      |    16    |     4     |  REFD   | 4000 m above ground (103)      |  Reflectivity 1km AGL                         |  dbz  |
|   6    |     0      |    16    |     4     |  REFD   | 1000 m above ground (103)      |  Reflectivity 4km AGL                         |  dbz  |
|   7    |     0      |     7    |    197    |  UPHL   | 2000-5000 m above ground (103) |  Updraft Helicity  **                         |m^2/s^2|
|   8    |     0      |    17    |     2     |  LTG1   | entire atmosphere (10)         |  LTG1 Maximum Lightning Threat 1 **           |km-2 5min-1|
|   9    |     0      |    17    |     3     |  LTG2   | entire atmosphere (10)         |  LTG1 Maximum Lightning Threat 2 **           |km-2 5min-1|
|  10    |     0      |    17    |     4     |  LTG3   | entire atmosphere (10)         |  LTG1 Maximum Lightning Threat 3 **           |km-2 5min-1|
|  11    |     0      |     0    |     0     |  TMP    |  2 m above ground  (103)       |  2-meter Temperature                          |   K   |
|  12    |     0      |     0    |     6     |  DPT    |  2 m above ground  (103)       |  2-meter Dewpoint                             |   K   |
