# variable,indicatorOfParameter,levelValue,levelType,level,longName,units
MSLP,2,0,meanSea,level 0,Mean sea level pressure,Pa (instant)
TSRG,212,0,entireAtmosphere,level 0,TOA incident solar radiation gradient,J m**-2 (instant)
SWG4,237,40,isobaricLayer,level 0,Soil wetness level 4 gradient,m (accum)
SFCR,211,1000,heightAboveGround,level 1000,Surface net thermal radiation clear sky gradient,J m**-2 (instant)
TMPS4,236,50,heightAboveGroundLayer,level 0,Soil temperature level 4 gradient,K (accum)
TMP2,11,2,heightAboveGround,level 2,2 metre temperature,K (instant)
DPT2,17,2,heightAboveGround,level 2,2 metre dewpoint temperature,K (instant)
UGRD,33,10,heightAboveGround,level 10,10 metre U wind component,m s**-1 (instant)
VGRD,34,10,heightAboveGround,level 10,10 metre V wind component,m s**-1 (instant)
WGST,229,10,heightAboveGround,level 10,Hourly Max 10 metre wind speed,m s**-1 (max)
ACPC,61,0,surface,level 0,Total Precipitation,kg m**-2 (accum)
CSNOW,143,0,surface,level 0,Categorical snow,(Code table 4.222) (instant)
CICEP,142,0,surface,level 0,Categorical ice pellets,(Code table 4.222) (instant)
CFRZR,141,0,surface,level 0,Categorical freezing rain,(Code table 4.222) (instant)
CRAIN,140,0,surface,level 0,Categorical rain,(Code table 4.222) (instant)
HAILK1,250,0,surface,level 0,Thompson Maximum Hail K1,m (instant)
HAIL2D,251,0,surface,level 0,Thompson Maximum Hail 2D,m (instant)
LFTX,131,50,isobaricLayer,levels 50000-100000 Pa,Surface lifted index,K (instant)
CAPE,157,0,surface,level 0,Convective available potential energy,J kg**-1 (instant)
CIN,156,0,surface,level 0,Convective inhibition,J kg**-1 (instant)
BMIN,11,0,surface,level 0,Surface-based Buoyancy Minimum,K (instant)
PBMIN,1,0,surface,level 0,Pressure of Surface-based Buoyancy Minimum,Pa (instant)
PWAT,54,0,entireAtmosphere,level 0,Precipitable water,kg m**-2 (instant)
CTTMP,11,0,cloudTop,level 0,Cloud Top Temperature,K (instant)
HLCY3,190,30,heightAboveGroundLayer,levels 3000-0 m,Storm relative helicity 0-3 km,J kg**-1 (instant)
HLCY1,190,10,heightAboveGroundLayer,levels 1000-0 m,Storm relative helicity 0-1 km,J kg**-1 (instant)
USTM,196,60,heightAboveGroundLayer,levels 0-6000 m,U-component storm motion,m s**-1 (instant)
VSTM,197,60,heightAboveGroundLayer,levels 0-6000 m,V-component storm motion,m s**-1 (instant)
UBSHR1,230,10,heightAboveGroundLayer,levels 0-1000 m,Vertical u-component shear 0-1 km,s**-1 (instant)
VBSHR1,238,10,heightAboveGroundLayer,levels 0-1000 m,Vertical v-component shear 0-1 km,s**-1 (instant)
UBSHR6,239,60,heightAboveGroundLayer,levels 0-6000 m,Vertical u-component shear 0-6 km,s**-1 (instant)
VBSHR6,241,60,heightAboveGroundLayer,levels 0-6000 m,Vertical v-component shear 0-6 km,s**-1 (instant)
TPHGT,7,0,tropopause,level 0,Geopotential Height of tropopause,gpm (instant)
BBCAPE,157,180,pressureFromGroundLayer,levels 18000-0 Pa,Best Boundary Convective available potential energy,J kg**-1 (instant)
BBCIN,156,180,pressureFromGroundLayer,levels 18000-0 Pa,Best Boundary Convective inhibition,J kg**-1 (instant)
BBBMIN,11,180,pressureFromGroundLayer,levels 18000-0 Pa,Best Boundary Buoyancy Minimum,K (instant)
BBPBMIN,1,180,pressureFromGroundLayer,levels 18000-0 Pa,Pressure of Best Boundary Buoyancy Minimum,Pa (instant)
ACHGT,7,0,adiabaticCondensation,level 0,Geopotential Height of adiabatic condensation,gpm (instant)
MLCAPE,157,90,pressureFromGroundLayer,levels 9000-0 Pa,Mixed-layer Convective available potential energy,J kg**-1 (instant)
MLCIN,156,90,pressureFromGroundLayer,levels 9000-0 Pa,Mixed-layer Convective inhibition,J kg**-1 (instant)
MLBMIN,11,90,pressureFromGroundLayer,levels 9000-0 Pa,Mixed-layer Buoyancy Minimum,K (instant)
MLPBMIN,1,90,pressureFromGroundLayer,levels 9000-0 Pa,Pressure of Mixed-layer Buoyancy Minimum,Pa (instant)
MUCAPE,157,4294967295,pressureFromGroundLayer,levels 25500-0 Pa,Most Unstable Convective available potential energy,J kg**-1 (instant)
MUCIN,156,4294967295,pressureFromGroundLayer,levels 25500-0 Pa,Most Unstable Convective inhibition,J kg**-1 (instant)
MUBMIN,11,4294967295,pressureFromGroundLayer,levels 25500-0 Pa,Most Unstable Buoyancy Minimum,K (instant)
MUPBMIN,1,4294967295,pressureFromGroundLayer,levels 25500-0 Pa,Pressure of Most Unstable Buoyancy Minimum,Pa (instant)
SNOWDG,141,4294967295,pressureFromGroundLayer,level 0,Snow depth gradient,m of water equivalent (instant)
PVORT,4,320,theta,level 320,Potential vorticity,K m**2 kg**-1 s**-1 (instant)
SBT123,123,4294967295,nominalTop,level 0,Simulated Brightness Temperature GOES 12 Channel 3,K (instant)
SBT124,124,4294967295,nominalTop,level 0,Simulated Brightness Temperature GOES 12 Channel 4,K (instant)
SBT113,242,4294967295,nominalTop,level 0,Simulated Brightness Temperature GOES 11 Channel 3,K (instant)
SBT114,243,4294967295,nominalTop,level 0,Simulated Brightness Temperature GOES 11 Channel 4,K (instant)
